handle,segment,relevance,community,marketFit,trustFit,safety,weightedScore,suggestedTest,sourceId,verification
@bigintojay,collector educator / hub,5,4,5,5,4,94,Lead authenticity Q&A + creator hub intro,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@idontfeedbirdz,knowledge creator,5,4,4,5,4,90,Fake-vs-real duet/stitch test,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@pinemiddleschool,knowledge creator,4,4,4,4,4,80,Price guide and collection-care post,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@ClickNAutomation,knowledge creator,4,3,4,4,3,74,Automation/restock alert angle,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@thearcadecyclist,collector/lifestyle,4,4,4,3,4,76,Collection story + listing CTA,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@lat3esh,knowledge creator,4,3,4,4,4,76,Beginner buying checklist,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@beautybyredd,lifestyle collector,4,4,4,3,4,76,OOTD + safe-buy caption,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@azgirlmom,family/lifestyle collector,4,4,4,3,4,76,Gift-buying safety checklist,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@ARMAN,collector community,3,4,3,3,3,64,Collection showcase test,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@dbagel,collector community,3,4,3,3,4,66,UGC challenge seed,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@sal_kusher,collector community,3,4,3,3,3,64,Unboxing + wishlist CTA,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@dani_ellenburg,lifestyle collector,4,4,4,3,4,76,Beginner collector story,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@1040_girl,collector community,3,3,3,3,4,62,Small-account KOC test,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@jvhhair,lifestyle / beauty crossover,3,4,4,2,4,66,Fashion styling with collection wall,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@coffeewolfking,collector community,3,3,3,3,3,60,Community discussion prompt,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@sarahelizabeth731,lifestyle collector,4,4,4,3,4,76,Haul + safe checkout CTA,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@blupheo,collector community,3,4,3,3,4,66,Show-and-tell UGC prompt,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@chubbylicious_29,collector community,3,4,3,3,4,66,Collection display challenge,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
@fabian_0205,collector community,3,3,3,3,3,60,Wishlist conversion test,S19,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
LabubuCollector.com,authenticity education site,5,3,4,5,5,88,Reference partner for authentication guide,S17,"Refresh followers, recent 30-day views, audience geography, brand safety, and rate card before outreach."
