id,area,source,date,metric,value,url,use,note
S01,market,POP MART 2024 annual results,2025-03-26,POP MART 2024 revenue and THE MONSTERS growth,"Total revenue RMB 13.04bn, +106.9% YoY; THE MONSTERS revenue RMB 3.04bn, +726.6% YoY",https://prod-out-res.popmart.com/cms/ANNUAL_RESULTS_ANNOUNCEMENT_FOR_THE_YEAR_ENDED_31_DECEMBER_2024_620c37efe4.pdf,Primary evidence that global collectible demand is growing.,Official annual results announcement; figures appear on pages 1 19 and 30.
S02,market,Whatnot 2026 State of Live Selling,2026,Live shopping market and Whatnot seller volume,$22bn market; Whatnot nearly 60% share; sellers drove $8bn live sales in 2025,https://blog.teamwhatnot.com/unitedstates/2026livesellingreport,Supports social-commerce mechanics for collectibles.,The report also says over 20m new accounts were created last year.
S03,trust,Whatnot Trust Center,accessed 2026-08-28,Trust and safety staffing signal,About one in three employees works in Trust and Safety,https://trust.whatnot.com/,"Shows trust is a core operating layer, not a back-office feature.",Used to benchmark the importance of buyer/seller protection.
S04,trust,Whatnot purchase support and Buyer Protection,accessed 2026-08-30,Buyer protection coverage,"Support is available when an order does not arrive, arrives damaged, or is not as described",https://help.whatnot.com/hc/en-us/articles/38113709695501-Get-help-with-your-purchase,Benchmark for trust promises in a C2C collectibles marketplace.,Mapped into the trust-barrier model.
S05,monetization,Whatnot seller fees,accessed 2026-08-28,US Toys & Hobbies fee,"8% commission up to $1,500 plus 2.9% + $0.30 payment processing",https://help.whatnot.com/hc/en-us/articles/4847069165965-Whatnot-seller-fees,Benchmark for seller-side marketplace economics.,Useful when designing take-rate and seller incentives.
S06,trust,Mercari Seller Protection,accessed 2026-08-28,Seller protection and listing mechanics,Free listing; 10% selling fee; up to $200 shipping protection,https://www.mercari.com/us/help_center/topics/account/policies/seller-protection/,"Benchmark for listing flow, protected payment, and shipping guardrails.",Mercari is a horizontal C2C benchmark.
S07,monetization,Mercari fees,2025-01-06 policy change,Buyer protection and seller fee,Buyer protection fee 3.6%; seller fee 10%,https://www.mercari.com/us/help_center/article/169/,Frames marketplace fee transparency as a conversion factor.,Used in competitor comparison.
S08,trust,Mercari Authenticate,accessed 2026-08-28,Photo-based authentication,Real Authentication evaluates item photos and responds within 48 hours,https://www.mercari.com/us/help_center/article/475/,Benchmark for authenticity proof workflow.,Useful inspiration for pre-listing verification.
S09,community,GummySearch r/labubu,accessed 2026-08-28,Community size and content themes,"190k members; top flairs include Display/OOTD/Collection, Customization, Haul, Discussion",https://gummysearch.com/r/labubu/,Evidence that identity/community content creates sustained interest.,Used to design content pillars and community seeding.
S10,community,GummySearch r/LabubuDrops,accessed 2026-08-28,Transaction-intent community,43k members; BUY/SELL/TRADE flair count 173; Payment topic count 100,https://gummysearch.com/r/LabubuDrops/,"Shows users discuss buying, selling, payment, stock, and real/fake checks.",High-intent community signal.
S11,risk,U.S. CPSC Labubu fake warning,2025-08-18,Counterfeit safety risk,"Warns fake Labubu toys may pose choking hazards; gives QR, hologram, UV stamp checks",https://www.cpsc.gov/Recalls/2025/Consumer-Safety-Alert-CPSC-Issues-Urgent-Safety-Warning-to-Labubu-Collectors,Turns authenticity from a preference into a safety/trust requirement.,Used in trust education content ideas.
S12,risk,BBB Scam Tracker Labubu search,accessed 2026-08-28,Reported scam examples,227 search results for Labubu-related scam reports,https://www.bbb.org/scamtracker/lookupscam?q=all%3DLABUBU%26from%3D0,Validates fake/no-delivery fears in public complaint data.,"Used as directional evidence, not a complete market estimate."
S13,commerce,TikTok Shop POPMART search page,accessed 2026-08-28,Official-shop sales signal,"POPMART US SHOP 4.8 rating, 2.6M sold, 862.1k+ followers",https://shop.tiktok.com/us/k/popmartthemonsters,Supports TikTok as a discovery-to-commerce channel.,TikTok pages are dynamic; numbers should be refreshed before submission.
S14,creator,Sprout Social 2026 Influencer Marketing Report,2026,Influencer evaluation insight,Follower count is less reliable than content relevance and audience fit,https://sproutsocial.com/insights/data/2026-influencer-marketing-report/,Supports using a weighted KOC/KOL score instead of follower-count sorting.,Methodology includes consumers and social professionals.
S15,creator,CreatorIQ Creator-Powered Funnel Report,2026-06-30,Creator content in paid media,Creator content is used across paid media; report cites CTR/conversion/CPM advantages,https://www.creatoriq.com/press/releases/creator-powered-funnel-report-2026,Supports reusing KOC content as paid creatives after organic validation.,"Used for experiment design, not as proof of this project's result."
S16,creator,TikTok creator commercial content quality standard,accessed 2026-08-28,Creator content quality rules,"Best practices emphasize real usage, genuine feelings, product value, and early hook",https://ads.tiktok.com/help/article/about-tiktoks-content-quality-standard-for-creator-commercial-content?lang=en,Turns TikTok content plan into a testable creative brief.,Used for the TikTok brief.
S17,verification,LabubuCollector About,accessed 2026-08-28,Collector education evidence,Collector site studies authentic and fake dolls side by side,https://labubucollector.com/about/,Supports authenticity education as a content/product feature.,Potential content/reference partner rather than paid KOL by default.
S18,resale,Modern Retail Labubunomics,2025,Marketplace verification response,Article reports StockX verifies boxes using QR-code checks and monitors fakes,https://www.modernretail.co/marketing/the-rise-of-labubunomics-how-merchants-and-marketplaces-are-cashing-in-on-the-viral-pop-mart-toy/,Supports building verification into the resale flow.,"Secondary source; use as context, not the only proof."
S19,kol,BigIntoJay Linktree,accessed 2026-08-28,Creator candidate discovery,Public list of Labubu-related creators and community accounts,https://linktr.ee/bigintojay,Seed source for the 20-candidate KOL/KOC shortlist.,Candidate list requires manual metric refresh before outreach.
